,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,95,33,10,98,100,56,10,85,100,53,10,35,100,9,10,34,100,34,10,100,95,39,10,100,85,41,10,92,68,46,10,100,78,46,10,94,95,0,10,92,95,5,10,71,85,0,10,75,85,0,10,74,90,45,10,51,95,46,10,49,95,42,10,54,93,35
1,20,100,98,40,20,100,100,66,20,94,100,67,20,80,100,43,20,72,100,16,20,100,98,32,20,100,98,47,20,98,93,38,20,100,98,50,20,97,98,3,20,98,100,20,20,80,100,0,20,78,98,0,20,92,98,37,20,72,98,28,20,65,100,34,20,68,98,36
2,30,100,98,37,30,100,100,59,30,100,100,59,30,100,100,38,30,98,100,45,30,100,98,38,30,100,98,40,30,98,93,28,30,100,98,47,30,98,100,24,30,100,100,48,30,91,100,10,30,91,100,15,30,94,98,32,30,75,98,29,30,74,100,36,30,74,100,35
3,40,100,98,38,40,100,100,30,40,100,100,23,40,100,100,22,40,100,100,8,40,100,100,37,40,100,98,44,40,100,100,45,40,100,98,47,40,100,100,37,40,100,100,70,40,94,100,33,40,97,100,58,40,95,100,34,40,86,100,32,40,83,100,35,40,83,100,36
4,50,100,100,38,50,100,100,22,50,100,100,5,50,100,100,2,50,100,100,0,50,100,100,32,50,100,98,55,50,100,100,54,50,100,98,53,50,100,100,75,50,100,100,62,50,98,100,53,50,98,100,69,50,97,100,30,50,86,100,26,50,85,100,29,50,91,100,30
5,60,100,100,43,60,100,100,15,60,100,100,2,60,100,100,0,60,100,100,0,60,100,100,38,60,100,98,57,60,100,100,52,60,100,98,50,60,100,100,65,60,100,100,34,60,98,100,74,60,100,100,67,60,98,100,25,60,86,100,26,60,88,100,26,60,94,100,26
6,70,100,100,43,70,100,100,15,70,100,100,0,70,100,100,0,70,100,100,0,70,100,100,42,70,100,98,53,70,100,100,52,70,100,98,54,70,100,100,59,70,100,100,26,70,100,100,66,70,100,100,56,70,98,100,20,70,91,100,22,70,91,100,23,70,95,100,24
7,80,100,100,44,80,100,100,10,80,100,100,0,80,100,100,1,80,100,100,0,80,100,100,42,80,100,100,45,80,100,100,48,80,100,98,54,80,100,100,40,80,100,100,22,80,100,100,43,80,100,100,49,80,98,100,24,80,92,100,20,80,92,100,23,80,97,100,22
8,90,100,100,50,90,100,100,6,90,100,100,0,90,100,100,0,90,100,100,0,90,100,100,39,90,100,100,47,90,100,100,47,90,100,100,51,90,100,100,27,90,100,100,24,90,100,100,18,90,100,100,36,90,98,100,20,90,94,100,20,90,94,100,18,90,98,100,20
9,100,100,100,44,100,100,100,2,100,100,100,0,100,100,100,0,100,100,100,0,100,100,100,40,100,100,100,34,100,100,100,44,100,100,100,50,100,100,100,23,100,100,100,21,100,100,100,21,100,100,100,29,100,100,100,20,100,94,100,13,100,94,100,18,100,98,100,18
